,crop_height,crop_width,epochs,height,hf,hl,image,is_cropped,lr,quantization_technique,seed,using_quantization,width
189,256,256,100000,512,11,3,cameramen,True,0.0001,,1234,False,512
190,256,256,100000,512,11,4,cameramen,True,0.0001,,0,False,512
191,256,256,100000,512,11,4,cameramen,True,0.0001,,42,False,512
192,256,256,100000,512,11,4,cameramen,True,0.0001,,101,False,512
193,256,256,100000,512,11,4,cameramen,True,0.0001,,123,False,512
194,256,256,100000,512,11,4,cameramen,True,0.0001,,1234,False,512
195,256,256,100000,512,11,5,cameramen,True,0.0001,,0,False,512
196,256,256,100000,512,11,5,cameramen,True,0.0001,,42,False,512
197,256,256,100000,512,11,5,cameramen,True,0.0001,,101,False,512
198,256,256,100000,512,11,5,cameramen,True,0.0001,,123,False,512
199,256,256,100000,512,11,5,cameramen,True,0.0001,,1234,False,512
200,256,256,100000,512,11,6,cameramen,True,0.0001,,0,False,512
201,256,256,100000,512,11,6,cameramen,True,0.0001,,42,False,512
202,256,256,100000,512,11,6,cameramen,True,0.0001,,101,False,512
203,256,256,100000,512,11,6,cameramen,True,0.0001,,123,False,512
204,256,256,100000,512,11,6,cameramen,True,0.0001,,1234,False,512
205,256,256,100000,512,11,7,cameramen,True,0.0001,,0,False,512
206,256,256,100000,512,11,7,cameramen,True,0.0001,,42,False,512
207,256,256,100000,512,11,7,cameramen,True,0.0001,,101,False,512
208,256,256,100000,512,11,7,cameramen,True,0.0001,,123,False,512
209,256,256,100000,512,11,7,cameramen,True,0.0001,,1234,False,512
210,256,256,100000,512,11,8,cameramen,True,0.0001,,0,False,512
211,256,256,100000,512,11,8,cameramen,True,0.0001,,42,False,512
212,256,256,100000,512,11,8,cameramen,True,0.0001,,101,False,512
213,256,256,100000,512,11,8,cameramen,True,0.0001,,123,False,512
214,256,256,100000,512,11,8,cameramen,True,0.0001,,1234,False,512
215,256,256,100000,512,11,9,cameramen,True,0.0001,,0,False,512
216,256,256,100000,512,11,9,cameramen,True,0.0001,,42,False,512
217,256,256,100000,512,11,9,cameramen,True,0.0001,,101,False,512
218,256,256,100000,512,11,9,cameramen,True,0.0001,,123,False,512
