,width,height,crop_width,crop_heigth,name,quality,bpp,mse_score,psnr_score,ssim_score,cr_score,is_cropped
70,481,321,256,256,test011,93,1.6644969915997954,2.4219512939453125,44.2891495574522,0.9945865874704511,0.5197109564164649,True
71,481,321,256,256,test022,93,1.971334382549336,4.0548095703125,42.05109898006175,0.9950055883346356,0.5132016138602112,True
72,481,321,256,256,test027,93,1.2446551511972073,2.149169921875,44.80809606979406,0.9928118963456066,0.46205678129750605,True
73,481,321,256,256,test032,93,2.023613836697949,3.6487884521484375,42.50931676107772,0.9961141591792825,0.5206479923058428,True
74,481,321,256,256,test053,93,1.0468325982344675,1.9254913330078125,45.28538792744452,0.9908061550153219,0.4245965770171149,True
75,481,321,256,256,test005,93,1.6180724218107396,3.285064697265625,42.9653643373352,0.9945118933061169,0.49911585797142455,True
76,481,321,256,256,test007,93,1.6070362238586537,2.6098785400390625,43.96460064494468,0.9955305951968226,0.503419732734734,True
77,481,321,256,256,test014,93,1.0860551421299085,2.03424072265625,45.046780168360634,0.993587533081482,0.4662538992343322,True
78,481,321,256,256,test051,93,1.6810253819599614,3.5182647705078125,42.66751841254249,0.9953413579392787,0.5260948786360382,True
79,481,321,256,256,test057,93,1.3706646977675014,3.247589111328125,43.015192842553716,0.9932861227452836,0.48862011196011934,True
80,481,321,256,256,test042,93,1.3120640410360036,2.61065673828125,43.96330588420888,0.9919737585837268,0.4807760839437735,True
81,481,321,256,256,test043,93,1.3197323851529459,1.5891571044921875,46.119135270706444,0.9969970139050239,0.5156720780680847,True
82,321,481,256,256,test045,93,0.7724820435100809,1.6988067626953125,45.829363796845335,0.9920430073455905,0.4383628469681448,True
83,481,321,256,256,test016,93,1.8971897850402524,2.978912353515625,43.3902263541201,0.996117441309329,0.5252608962553714,True
84,481,321,256,256,test020,93,1.3477114785526,3.8842315673828125,42.23775247397475,0.9927982358305474,0.50864409692387,True
85,481,321,256,256,test023,93,1.494342653221158,1.6314239501953125,46.005135271695906,0.9952942917519576,0.48934272300469484,True
86,481,321,256,256,test024,93,1.602373041625378,2.032684326171875,45.05010422488836,0.9953429721316406,0.48629005616121573,True
87,481,321,256,256,test015,93,1.7759988601110097,3.8023681640625,42.33026195766214,0.9928220855375601,0.5047160792811166,True
88,481,321,256,256,test037,93,1.458073458073458,3.1761474609375,43.111797033896835,0.9926125195672656,0.4811715481171548,True
89,481,321,256,256,test056,93,2.700500644425878,5.7509765625,40.53338763188053,0.9946467997208388,0.5445883539466001,True
90,481,321,256,256,test033,93,1.4614413119086016,2.7904205322265625,43.67410702016279,0.9947701359360018,0.49180459585408964,True
91,481,321,256,256,test025,93,1.137712838647418,2.744659423828125,43.74591898977464,0.9965427966972076,0.5040947052623044,True
92,481,321,256,256,test047,93,1.9372931522464232,4.0355987548828125,42.07172381500002,0.9941159414977578,0.507331100297036,True
93,481,321,256,256,test044,93,1.779004021994676,4.206573486328125,41.89151880684619,0.9954116691757655,0.5399553354694631,True
94,481,321,256,256,test058,93,1.0647599432646162,1.84844970703125,45.46272722164326,0.9912710955999833,0.4132618235007314,True
95,481,321,256,256,test060,93,1.0130504336111812,2.4359283447265625,44.26415851926593,0.9902520077039974,0.43597180082098874,True
96,481,321,256,256,test036,93,1.6651187492308988,4.9079437255859375,41.22180786398847,0.9871787382323651,0.4727543360082837,True
97,321,481,256,256,test039,93,1.0879204150232187,1.0175933837890625,48.055060862597614,0.9957256323696773,0.48508734554750743,True
98,481,321,256,256,test041,93,1.6401448177149112,3.496551513671875,42.694404299108044,0.9936874015571677,0.5056018486100413,True
99,481,321,256,256,test049,93,1.0105634030867676,1.606201171875,46.072804224384996,0.9923791998233314,0.43951391180028593,True
100,481,321,256,256,test026,93,1.5693680740409712,3.368438720703125,42.85651709877614,0.9926859366938797,0.4830187379443373,True
101,481,321,256,256,test019,93,1.5868809139837177,3.060089111328125,43.273462873292765,0.9929486808231605,0.5040902893500985,True
102,481,321,256,256,test008,93,2.0431992020777066,4.2106170654296875,41.88734614563521,0.9947002723817913,0.5221133436073391,True
103,481,321,256,256,test012,93,1.6240827455780726,2.4651031494140625,44.21245264319943,0.9945658338943599,0.4872953133822699,True
104,481,321,256,256,test068,93,1.9242362419932513,3.981719970703125,42.13009647480594,0.9960581182735269,0.5514925105068429,True
105,321,481,256,256,test001,93,2.1811257699108166,4.862274169921875,41.262409170296415,0.991162839568272,0.48634954697186455,True
106,321,481,256,256,test029,93,2.5668227537386414,6.749969482421875,39.83778551539958,0.9965980072733239,0.5895750535004586,True
107,481,321,256,256,test030,93,1.294706640501033,1.885406494140625,45.37675362225306,0.9952106344917209,0.48405190456257846,True
108,481,321,256,256,test028,93,0.7675079824612535,1.328216552734375,46.89811472590138,0.9937847052135537,0.4592991913746631,True
109,512,512,256,256,lena,93,1.007781982421875,0.5224609375,50.95026535486494,0.9983252571021256,0.5129641983544585,True
110,481,321,256,256,test061,93,1.1909249292426862,3.0851898193359375,43.237984712817685,0.9903589217189913,0.4640647674329795,True
